cancer_group	cohort	cell_type	molecular_subtype	n
Chordoma	PBTA	Neutrophil	CHDM, To be classified	129
Chordoma	PBTA	Neutrophil	CHDM, conventional	2
Chordoma	PBTA	Neutrophil	CHDM, poorly differentiated	7
Chordoma	PBTA	T cell CD4+ (non-regulatory)	CHDM, To be classified	129
Chordoma	PBTA	T cell CD4+ (non-regulatory)	CHDM, conventional	2
Chordoma	PBTA	T cell CD4+ (non-regulatory)	CHDM, poorly differentiated	7
Chordoma	PBTA	T cell CD8+	CHDM, To be classified	129
Chordoma	PBTA	T cell CD8+	CHDM, conventional	2
Chordoma	PBTA	T cell CD8+	CHDM, poorly differentiated	7
Chordoma	PBTA	T cell regulatory (Tregs)	CHDM, To be classified	129
Chordoma	PBTA	T cell regulatory (Tregs)	CHDM, conventional	2
Chordoma	PBTA	T cell regulatory (Tregs)	CHDM, poorly differentiated	7
Chordoma	PBTA	uncharacterized cell	CHDM, To be classified	129
Chordoma	PBTA	uncharacterized cell	CHDM, conventional	2
Chordoma	PBTA	uncharacterized cell	CHDM, poorly differentiated	7
Choroid plexus tumor	PBTA	B cell	NA	40
Choroid plexus tumor	PBTA	Macrophage M1	NA	40
Choroid plexus tumor	PBTA	Macrophage M2	NA	40
Choroid plexus tumor	PBTA	Monocyte	NA	40
Choroid plexus tumor	PBTA	Myeloid dendritic cell	NA	40
Choroid plexus tumor	PBTA	NK cell	NA	40
Choroid plexus tumor	PBTA	Neutrophil	NA	40
Choroid plexus tumor	PBTA	T cell CD4+ (non-regulatory)	NA	40
Choroid plexus tumor	PBTA	T cell CD8+	NA	40
Choroid plexus tumor	PBTA	T cell regulatory (Tregs)	NA	40
Choroid plexus tumor	PBTA	uncharacterized cell	NA	40
Clear cell sarcoma of the kidney	TARGET	B cell	NA	13
Clear cell sarcoma of the kidney	TARGET	Macrophage M1	NA	13
Clear cell sarcoma of the kidney	TARGET	Macrophage M2	NA	13
Clear cell sarcoma of the kidney	TARGET	Monocyte	NA	13
Clear cell sarcoma of the kidney	TARGET	Myeloid dendritic cell	NA	13
Clear cell sarcoma of the kidney	TARGET	NK cell	NA	13
Clear cell sarcoma of the kidney	TARGET	Neutrophil	NA	13
Clear cell sarcoma of the kidney	TARGET	T cell CD4+ (non-regulatory)	NA	13
Clear cell sarcoma of the kidney	TARGET	T cell CD8+	NA	13
Clear cell sarcoma of the kidney	TARGET	T cell regulatory (Tregs)	NA	13
Clear cell sarcoma of the kidney	TARGET	uncharacterized cell	NA	13
Craniopharyngioma	PBTA	B cell	CRANIO, To be classified	16
Craniopharyngioma	PBTA	Macrophage M1	CRANIO, To be classified	16
Craniopharyngioma	PBTA	Macrophage M2	CRANIO, To be classified	16
Craniopharyngioma	PBTA	Monocyte	CRANIO, To be classified	16
Craniopharyngioma	PBTA	Myeloid dendritic cell	CRANIO, To be classified	16
Craniopharyngioma	PBTA	NK cell	CRANIO, To be classified	16
Craniopharyngioma	PBTA	Neutrophil	CRANIO, To be classified	16
Craniopharyngioma	PBTA	T cell CD4+ (non-regulatory)	CRANIO, To be classified	16
Craniopharyngioma	PBTA	T cell CD8+	CRANIO, To be classified	16
Craniopharyngioma	PBTA	T cell regulatory (Tregs)	CRANIO, To be classified	16
Craniopharyngioma	PBTA	uncharacterized cell	CRANIO, To be classified	16
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	B cell	GNT, BRAF V600E	1
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	B cell	GNT, RTK	2
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	B cell	GNT, wildtype	1
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	Macrophage M1	GNT, BRAF V600E	1
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	Macrophage M1	GNT, RTK	2
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	Macrophage M1	GNT, wildtype	1
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	Macrophage M2	GNT, BRAF V600E	1
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	Macrophage M2	GNT, RTK	2
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	Macrophage M2	GNT, wildtype	1
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	Monocyte	GNT, BRAF V600E	1
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	Monocyte	GNT, RTK	2
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	Monocyte	GNT, wildtype	1
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	Myeloid dendritic cell	GNT, BRAF V600E	1
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	Myeloid dendritic cell	GNT, RTK	2
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	Myeloid dendritic cell	GNT, wildtype	1
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	NK cell	GNT, BRAF V600E	1
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	NK cell	GNT, RTK	2
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	NK cell	GNT, wildtype	1
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	Neutrophil	GNT, BRAF V600E	1
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	Neutrophil	GNT, RTK	2
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	Neutrophil	GNT, wildtype	1
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	T cell CD4+ (non-regulatory)	GNT, BRAF V600E	1
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	T cell CD4+ (non-regulatory)	GNT, RTK	2
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	T cell CD4+ (non-regulatory)	GNT, wildtype	1
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	T cell CD8+	GNT, BRAF V600E	1
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	T cell CD8+	GNT, RTK	2
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	T cell CD8+	GNT, wildtype	1
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	T cell regulatory (Tregs)	GNT, BRAF V600E	1
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	T cell regulatory (Tregs)	GNT, RTK	2
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	T cell regulatory (Tregs)	GNT, wildtype	1
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	uncharacterized cell	GNT, BRAF V600E	1
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	uncharacterized cell	GNT, RTK	2
Desmoplastic infantile astrocytoma and ganglioglioma	PBTA	uncharacterized cell	GNT, wildtype	1
Diffuse hemispheric glioma	PBTA	B cell	DHG, H3 G35	11
Diffuse hemispheric glioma	PBTA	B cell	DHG, H3 G35, TP53	26
Diffuse hemispheric glioma	PBTA	Macrophage M1	DHG, H3 G35	11
Diffuse hemispheric glioma	PBTA	Macrophage M1	DHG, H3 G35, TP53	26
Diffuse hemispheric glioma	PBTA	Macrophage M2	DHG, H3 G35	11
Diffuse hemispheric glioma	PBTA	Macrophage M2	DHG, H3 G35, TP53	26
Diffuse hemispheric glioma	PBTA	Monocyte	DHG, H3 G35	11
Diffuse hemispheric glioma	PBTA	Monocyte	DHG, H3 G35, TP53	26
Diffuse hemispheric glioma	PBTA	Myeloid dendritic cell	DHG, H3 G35	11
Diffuse hemispheric glioma	PBTA	Myeloid dendritic cell	DHG, H3 G35, TP53	26
Diffuse hemispheric glioma	PBTA	NK cell	DHG, H3 G35	11
Diffuse hemispheric glioma	PBTA	NK cell	DHG, H3 G35, TP53	26
Diffuse hemispheric glioma	PBTA	Neutrophil	DHG, H3 G35	11
Diffuse hemispheric glioma	PBTA	Neutrophil	DHG, H3 G35, TP53	26
Diffuse hemispheric glioma	PBTA	T cell CD4+ (non-regulatory)	DHG, H3 G35	11
Diffuse hemispheric glioma	PBTA	T cell CD4+ (non-regulatory)	DHG, H3 G35, TP53	26
Diffuse hemispheric glioma	PBTA	T cell CD8+	DHG, H3 G35	11
Diffuse hemispheric glioma	PBTA	T cell CD8+	DHG, H3 G35, TP53	26
Diffuse hemispheric glioma	PBTA	T cell regulatory (Tregs)	DHG, H3 G35	11
Diffuse hemispheric glioma	PBTA	T cell regulatory (Tregs)	DHG, H3 G35, TP53	26
Diffuse hemispheric glioma	PBTA	uncharacterized cell	DHG, H3 G35	11
Diffuse hemispheric glioma	PBTA	uncharacterized cell	DHG, H3 G35, TP53	26
Diffuse intrinsic pontine glioma	PBTA	B cell	HGG, To be classified	10
Diffuse intrinsic pontine glioma	PBTA	Macrophage M1	HGG, To be classified	10
Diffuse intrinsic pontine glioma	PBTA	Macrophage M2	HGG, To be classified	10
Diffuse intrinsic pontine glioma	PBTA	Monocyte	HGG, To be classified	10
Diffuse intrinsic pontine glioma	PBTA	Myeloid dendritic cell	HGG, To be classified	10
Diffuse intrinsic pontine glioma	PBTA	NK cell	HGG, To be classified	10
Diffuse intrinsic pontine glioma	PBTA	Neutrophil	HGG, To be classified	10
Diffuse intrinsic pontine glioma	PBTA	T cell CD4+ (non-regulatory)	HGG, To be classified	10
Diffuse intrinsic pontine glioma	PBTA	T cell CD8+	HGG, To be classified	10
Diffuse intrinsic pontine glioma	PBTA	T cell regulatory (Tregs)	HGG, To be classified	10
Diffuse intrinsic pontine glioma	PBTA	uncharacterized cell	HGG, To be classified	10
Diffuse leptomeningeal glioneuronal tumor	PBTA	B cell	GNT, KIAA1549-BRAF	1
Diffuse leptomeningeal glioneuronal tumor	PBTA	B cell	GNT, MAPK	1
Diffuse leptomeningeal glioneuronal tumor	PBTA	Macrophage M1	GNT, KIAA1549-BRAF	1
Diffuse leptomeningeal glioneuronal tumor	PBTA	Macrophage M1	GNT, MAPK	1
Diffuse leptomeningeal glioneuronal tumor	PBTA	Macrophage M2	GNT, KIAA1549-BRAF	1
Diffuse leptomeningeal glioneuronal tumor	PBTA	Macrophage M2	GNT, MAPK	1
Diffuse leptomeningeal glioneuronal tumor	PBTA	Monocyte	GNT, KIAA1549-BRAF	1
