cancer_group	cohort	cell_type	molecular_subtype	n
Atypical Teratoid Rhabdoid Tumor	PBTA	Cancer associated fibroblast	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	Cancer associated fibroblast	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	Cancer associated fibroblast	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	Class-switched memory B cell	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	Class-switched memory B cell	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	Class-switched memory B cell	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	Class-switched memory B cell	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	Common lymphoid progenitor	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	Common lymphoid progenitor	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	Common lymphoid progenitor	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	Common lymphoid progenitor	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	Common myeloid progenitor	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	Common myeloid progenitor	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	Common myeloid progenitor	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	Common myeloid progenitor	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	Endothelial cell	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	Endothelial cell	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	Endothelial cell	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	Endothelial cell	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	Eosinophil	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	Eosinophil	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	Eosinophil	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	Eosinophil	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	Granulocyte-monocyte progenitor	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	Granulocyte-monocyte progenitor	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	Granulocyte-monocyte progenitor	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	Granulocyte-monocyte progenitor	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	Hematopoietic stem cell	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	Hematopoietic stem cell	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	Hematopoietic stem cell	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	Hematopoietic stem cell	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	Macrophage	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	Macrophage	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	Macrophage	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	Macrophage	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	Macrophage M1	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	Macrophage M1	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	Macrophage M1	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	Macrophage M1	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	Macrophage M2	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	Macrophage M2	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	Macrophage M2	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	Macrophage M2	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	Mast cell	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	Mast cell	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	Mast cell	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	Mast cell	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	Monocyte	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	Monocyte	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	Monocyte	ATRT, TYR	13
