Kids_First_Biospecimen_ID	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
BS_P7VR731D	0.3977703374535772	0	0	0	0	0.2591691016005763	0	0.11694087912936449	0	0	0	0	0	0	0	0	0	0.21096953126524826	0	0	0	0	0	0	0	0	0	0	0	0
BS_NNFDFAFM	0.20670321267768316	0	0.1631625876556293	0	0.08009740768002128	0	0	0.3468313957130662	0.06122053509671308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_M5FM63EB	0.32904517724885596	0	0	0	0.20788764956292002	0	0	0.28578890453307554	0	0	0	0	0	0	0	0.12441573599469587	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_M0B42FPR	0.34480809372954824	0	0	0	0.15157757260642654	0	0	0.32254238669977153	0	0	0	0	0	0	0	0.15060861867568434	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_KT3GAAQV	0.8354903118180111	0	0	0.09016328700544728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_KQRAHH6Y	0.16295902739578036	0	0.20032491148497372	0	0.13839671384393387	0	0	0.27964304896570963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06422900957610826	0	0	0	0	0
BS_K24D4BGK	0.5399169667849781	0	0.2419066378055436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_KPG4WCHS	0.09512864377759198	0	0	0	0	0.30113430746376385	0	0	0	0	0	0.09723756206522957	0	0	0.15625971187670412	0	0	0.11067052836309747	0.1450579751562529	0	0	0	0	0	0	0	0	0	0	0
BS_KQPCYZ2K	0	0	0.07267214856192403	0	0.2990965100485079	0	0	0.1072498253071158	0	0	0	0	0	0	0	0	0	0.15762654893155695	0	0	0	0	0	0.06731784634419172	0	0	0	0	0	0
BS_KHJMCFQR	0.4600379077637602	0	0	0	0	0.15706345066893132	0	0	0	0	0	0	0	0	0	0	0.07048422484179043	0	0.13781516817457873	0	0.11509638806201779	0	0	0	0	0	0	0	0	0
BS_JWDK21ED	0.11879683786418424	0	0.2582289439627837	0.20338407652851803	0	0.10913313280449097	0	0	0	0	0	0	0	0.09538058592687548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14100312952614633
BS_JRFVST47	0.11980825184035387	0	0.395599009201483	0	0	0	0	0.2705131935523301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
