Kids_First_Biospecimen_ID_DNA	Kids_First_Biospecimen_ID_RNA	Kids_First_Participant_ID	MYCN_TPM	MYCN_CN	MYCN_CN_status	sample_id	cohort	match_id	pathology_free_text_diagnosis
BS_SSS5J8P5	NA	PATWAG	NA	3	gain	09	GMKF	PATWAG_09_Bone Marrow_Primary Tumor	MYCN non-amp
BS_STK02B14	NA	PATUWG	NA	3	loss	01	GMKF	PATUWG_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_SXVVN52M	NA	PATNBK	NA	3	gain	01	GMKF	PATNBK_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_SYQG48V0	NA	PATVER	NA	NA	NA	01	GMKF	PATVER_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_T62SHZA7	NA	PATJIV	NA	NA	NA	01	GMKF	PATJIV_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_TBSPYEEW	NA	PAUPKS	NA	NA	NA	01	GMKF	PAUPKS_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_TDV0SYNR	NA	PAUAZW	NA	NA	NA	01	GMKF	PAUAZW_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_THY6PFYF	NA	PAVBAI	NA	NA	NA	01	GMKF	PAVBAI_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_TKRH7YW7	NA	PAVJTD	NA	4	gain	01	GMKF	PAVJTD_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_TR758MB1	NA	PASHEL	NA	53	amplification	01	GMKF	PASHEL_01_Solid Tissue_Primary Tumor	MYCN amp
BS_VCXG53E7	NA	PAUDFR	NA	NA	NA	01	GMKF	PAUDFR_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_VGAKW5G6	NA	PASJWG	NA	3	gain	01	GMKF	PASJWG_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_W05MC7QG	NA	PASDPN	NA	NA	NA	01	GMKF	PASDPN_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_W2BC0CVT	NA	PASIIU	NA	622	amplification	01	GMKF	PASIIU_01_Solid Tissue_Primary Tumor	MYCN amp
BS_WKPJ7S74	NA	PAUAKC	NA	NA	NA	01	GMKF	PAUAKC_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_WMM0MP1J	NA	PASJRT	NA	4	gain	01	GMKF	PASJRT_01_Solid Tissue_Primary Tumor	MYCN amp
BS_WSD8PV27	NA	PATRVB	NA	NA	NA	01	GMKF	PATRVB_01_Solid Tissue_Primary Tumor	MYCN amp
BS_WSK7MH3C	NA	PASUMG	NA	122	amplification	01	GMKF	PASUMG_01_Solid Tissue_Primary Tumor	MYCN amp
BS_WVMWHF4P	NA	PATTFS	NA	NA	NA	01	GMKF	PATTFS_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_WZXHZN97	NA	PAUXSV	NA	3	gain	01	GMKF	PAUXSV_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_X242DJMF	NA	PAURFH	NA	3	gain	01	GMKF	PAURFH_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_X6BEG5J1	NA	PASSZI	NA	NA	NA	01	GMKF	PASSZI_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_XDH1Y1TQ	NA	PATSSA	NA	NA	NA	01	GMKF	PATSSA_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_XH6P7BY8	NA	PASYIP	NA	99	amplification	01	GMKF	PASYIP_01_Solid Tissue_Primary Tumor	MYCN amp
BS_XX68G6KE	NA	PATUAI	NA	NA	NA	01	GMKF	PATUAI_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_Y35YEDFF	NA	PAUILS	NA	NA	NA	01	GMKF	PAUILS_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_YTQ6Y7FQ	NA	PATWTJ	NA	NA	NA	01	GMKF	PATWTJ_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_ZQEDB5RA	NA	PAUIDD	NA	NA	NA	01	GMKF	PAUIDD_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_ZYXTC212	NA	PATPIU	NA	NA	NA	01	GMKF	PATPIU_01_Solid Tissue_Primary Tumor	MYCN non-amp
NA	BS_3V34S6KM	PASKWI	0.86	NA	NA	01	GMKF	PASKWI_01_Solid Tissue_Primary Tumor	MYCN non-amp
NA	BS_43R2B7DR	PASGBE	2.34	NA	NA	01	GMKF	PASGBE_01_Solid Tissue_Primary Tumor	MYCN non-amp
NA	BS_A3198WFE	PASNII	19.18	NA	NA	01	GMKF	PASNII_01_Solid Tissue_Primary Tumor	MYCN non-amp
NA	BS_H9BW7Y9C	PAUUTW	25.81	NA	NA	01	GMKF	PAUUTW_01_Solid Tissue_Primary Tumor	MYCN non-amp
NA	BS_MYNJDVWV	PATCMD	43.2	NA	NA	01	GMKF	PATCMD_01_Solid Tissue_Primary Tumor	MYCN non-amp
NA	BS_XPTREBJD	PASZKE	11.37	NA	NA	01	GMKF	PASZKE_01_Solid Tissue_Primary Tumor	MYCN non-amp
NA	BS_YG0W2BBN	PAVMHB	1.03	NA	NA	01	GMKF	PAVMHB_01_Solid Tissue_Primary Tumor	MYCN non-amp
TARGET-30-PAIFXV-01A-01D	TARGET-30-PAIFXV-01A-01R	PAIFXV	3.17	3	gain	01	TARGET	PAIFXV_01_Solid Tissue_Primary Tumor	MYCN non-amp
TARGET-30-PAIPGU-01A-01W	TARGET-30-PAIPGU-01A-01R	PAIPGU	17.57	3	gain	01	TARGET	PAIPGU_01_Solid Tissue_Primary Tumor	MYCN non-amp
TARGET-30-PAITCI-01A-01W	TARGET-30-PAITCI-01A-01R	PAITCI	17.43	2	loss	01	TARGET	PAITCI_01_Solid Tissue_Primary Tumor	MYCN non-amp
TARGET-30-PAITEG-01A-01W	TARGET-30-PAITEG-01A-01R	PAITEG	1.24	2	neutral	01	TARGET	PAITEG_01_Solid Tissue_Primary Tumor	MYCN non-amp
TARGET-30-PAIVHE-01A-01W	TARGET-30-PAIVHE-01A-01R	PAIVHE	39.72	2	loss	01	TARGET	PAIVHE_01_Solid Tissue_Primary Tumor	MYCN non-amp
TARGET-30-PAKYZS-01A-01W	TARGET-30-PAKYZS-01A-01R	PAKYZS	9.23	2	neutral	01	TARGET	PAKYZS_01_Solid Tissue_Primary Tumor	MYCN non-amp
TARGET-30-PALBFW-01A-01W	TARGET-30-PALBFW-01A-01R	PALBFW	22.9	2	neutral	01	TARGET	PALBFW_01_Solid Tissue_Primary Tumor	MYCN non-amp
TARGET-30-PALCBW-01A-01W	TARGET-30-PALCBW-01A-01R	PALCBW	3.51	2	loss	01	TARGET	PALCBW_01_Solid Tissue_Primary Tumor	MYCN non-amp
TARGET-30-PALETP-01A-01W	TARGET-30-PALETP-01A-01R	PALETP	35.31	2	neutral	01	TARGET	PALETP_01_Solid Tissue_Primary Tumor	MYCN non-amp
TARGET-30-PALEVG-01A-01W	TARGET-30-PALEVG-01A-01R	PALEVG	732.82	44	amplification	01	TARGET	PALEVG_01_Solid Tissue_Primary Tumor	MYCN amp
TARGET-30-PALIIN-01A-01W	TARGET-30-PALIIN-01A-01R	PALIIN	55.37	2	loss	01	TARGET	PALIIN_01_Solid Tissue_Primary Tumor	MYCN non-amp
TARGET-30-PALTEG-01A-01W	TARGET-30-PALTEG-01A-01R	PALTEG	17.22	2	neutral	01	TARGET	PALTEG_01_Solid Tissue_Primary Tumor	MYCN non-amp
TARGET-30-PALWVJ-01A-01W	TARGET-30-PALWVJ-01A-01R	PALWVJ	8.86	2	neutral	01	TARGET	PALWVJ_01_Solid Tissue_Primary Tumor	MYCN non-amp
TARGET-30-PALZZV-01A-01W	TARGET-30-PALZZV-01A-01R	PALZZV	818.77	86	amplification	01	TARGET	PALZZV_01_Solid Tissue_Primary Tumor	MYCN amp
TARGET-30-PAMMXF-01A-01W	TARGET-30-PAMMXF-01A-01R	PAMMXF	482.57	2	neutral	01	TARGET	PAMMXF_01_Solid Tissue_Primary Tumor	MYCN amp
TARGET-30-PAMVRA-01A-01W	TARGET-30-PAMVRA-01A-01R	PAMVRA	57.44	2	loss	01	TARGET	PAMVRA_01_Solid Tissue_Primary Tumor	MYCN non-amp
TARGET-30-PAMYCE-01A-01W	TARGET-30-PAMYCE-01A-01R	PAMYCE	24.37	2	loss	01	TARGET	PAMYCE_01_Solid Tissue_Primary Tumor	MYCN non-amp
TARGET-30-PAMZGT-01A-01W	TARGET-30-PAMZGT-01A-01R	PAMZGT	214.79	23	amplification	01	TARGET	PAMZGT_01_Solid Tissue_Primary Tumor	MYCN amp
TARGET-30-PAMZMG-01A-01W	TARGET-30-PAMZMG-01A-01R	PAMZMG	594.01	44	amplification	01	TARGET	PAMZMG_01_Solid Tissue_Primary Tumor	MYCN amp
TARGET-30-PANBMJ-01A-01W	TARGET-30-PANBMJ-01A-01R	PANBMJ	3.53	2	neutral	01	TARGET	PANBMJ_01_Solid Tissue_Primary Tumor	MYCN non-amp
TARGET-30-PANBSP-01A-01W	TARGET-30-PANBSP-01A-01R	PANBSP	45.6	3	neutral	01	TARGET	PANBSP_01_Solid Tissue_Primary Tumor	MYCN non-amp
TARGET-30-PANKFE-01A-01W	TARGET-30-PANKFE-01A-01R	PANKFE	4.39	2	neutral	01	TARGET	PANKFE_01_Solid Tissue_Primary Tumor	MYCN non-amp
TARGET-30-PANLET-01A-01D	TARGET-30-PANLET-01A-01R	PANLET	31.45	2	loss	01	TARGET	PANLET_01_Solid Tissue_Primary Tumor	MYCN non-amp
TARGET-30-PANRHJ-01A-01W	TARGET-30-PANRHJ-01A-01R	PANRHJ	22.58	2	neutral	01	TARGET	PANRHJ_01_Solid Tissue_Primary Tumor	MYCN non-amp
TARGET-30-PANRVJ-01A-01D	TARGET-30-PANRVJ-01A-01R	PANRVJ	26.77	2	loss	01	TARGET	PANRVJ_01_Solid Tissue_Primary Tumor	MYCN non-amp
TARGET-30-PANSBN-01A-01D	TARGET-30-PANSBN-01A-01R	PANSBN	0.64	2	neutral	01	TARGET	PANSBN_01_Solid Tissue_Primary Tumor	MYCN non-amp
TARGET-30-PANUIF-01A-01D	TARGET-30-PANUIF-01A-01R	PANUIF	11.99	3	gain	01	TARGET	PANUIF_01_Solid Tissue_Primary Tumor	MYCN non-amp
