Kids_First_Biospecimen_ID	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11
BS_J8EK6RNF	0	0.12941678404130816	0	0.09865274387211254	0	0.21092760103979738	0.13488339831683124	0	0.10873465955491426	0	0.26431827857943296
BS_18RH1034	0	0	0.26073041396655755	0	0	0.13702795888132355	0	0	0.32387002804826537	0.06277335864368647	0.18787910437230362
BS_4DQAQFQH	0	0.07728398728320492	0.06937887306456128	0	0	0	0.23856508699311277	0.14941745367923717	0.17517867686773092	0	0.231229398345119
BS_7PAAZQE6	0	0	0.3637469764723283	0	0	0	0	0	0.6362530235276717	0	0
BS_2DNGDW0A	0	0	0.45677685693993786	0	0	0	0	0	0.5432231430600621	0	0
BS_QF7M4SHH	0	0	0.10937054520232987	0	0	0	0	0	0.8906294547976701	0	0
BS_03SSN1N2	0	0	0	0	0	0.08994210035733945	0.1990484606566361	0	0.22067206234525774	0.1406781438763219	0.29232899534796436
BS_78TQS4Y3	0	0	0.43095062596923495	0	0	0	0	0	0.5181145506840209	0	0
BS_3MYQP7P5	0	0.10099891871259897	0.2091110854934188	0	0	0	0	0	0.6898899957939822	0	0
BS_H8MAKDRB	0	0	0.2135009938435689	0	0	0	0.2155049381270432	0	0.2643400261204593	0	0.22551440469804712
BS_MWKJF6XH	0	0	0.39064947841839587	0	0	0	0	0	0.6093505215816041	0	0
BS_6GTKRGNK	0	0.10047620865747016	0.3354219747100516	0	0	0	0	0	0.5641018166324783	0	0
BS_CWQ35N2K	0	0	0.2530729104419568	0	0	0	0.3557756080553605	0	0.39115148150268264	0	0
BS_SD28E0SC	0	0	0.10081898717264909	0	0	0	0	0	0.52985915271139	0.369321860115961	0
BS_PMSZKZP7	0	0.09704291007189707	0	0	0	0	0	0	0.46289024156428527	0.4400668483638177	0
BS_0FQKT8EY	0	0.1661489746615318	0	0.07040450855949082	0.26538641850897204	0	0.13244921138204868	0	0.12753052832599457	0	0.18109979000836304
BS_J5J0EA7Y	0	0	0.2547966806529457	0	0	0	0	0	0.46857405659444984	0	0.2766292627526045
BS_T1SNKF50	0	0	0.23753548936990102	0	0	0	0.27594030597296126	0	0.24776246568300603	0	0.235631418025663
BS_H1K33JVK	0	0	0.22394851578429903	0	0	0	0	0.22985380415109355	0.27775130142932786	0	0.26844637863527954
BS_5JC116NM	0	0.16729594513469034	0.06280476911683637	0.08787871481308875	0.26332007299600796	0.11103830076854879	0.11800753585545279	0	0	0	0.14184957980176705
BS_QGX93WPF	0	0	0.17738361819174003	0	0	0	0.24771318638155745	0	0.5340020937889377	0	0
BS_KYPMZZSY	0	0.09154846061510245	0.150491576257917	0	0	0.16854880436955608	0	0	0.21075689439550027	0	0.3179469224953613
BS_ST3Z2B9B	0	0	0.2616593443195389	0	0	0	0	0	0.36771324791971965	0	0.2794050012702977
BS_SQSH5G7A	0	0.1071391481026423	0.20138480142554033	0	0.5205576965584523	0	0.06629918766198256	0	0	0	0
BS_MZJJRDZF	0	0	0.24181403014454178	0	0	0	0	0	0.4939053840574958	0	0.20737930591619202
BS_MW74GF38	0	0.08621380258240582	0.1492455689568919	0.11728540572175665	0	0	0.28459480449225755	0	0.2077977031138194	0	0.1548627151328687
BS_6FV7BDE3	0	0	0.28741019189980366	0	0	0	0	0	0.39401996504244624	0	0.2760809246943138
BS_9GJHMA3J	0	0.10131175424610318	0.12347611056133684	0.1915680919909146	0.1229887465196351	0	0.15783234196716797	0	0.19145521684223	0	0.1113677378726124
BS_HM5GFJN8	0	0	0.09414160488915749	0	0	0	0.20654910109659183	0.11503430429868908	0.2509974877106877	0	0.15162513425912105
