Kids_First_Biospecimen_ID	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94	SBS95
BS_YHXMYDBN	0.10147105370825636	0	0	0	0.13352687806690902	0	0	0	0	0	0.15470240749651362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09243962769263077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YH60H2FS	0.12008552346291196	0	0	0	0.1435061155688661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06281141314361056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11001858202549768	0	0.14453510327199587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YH4DYNQ2	0.15127583925825175	0	0	0	0.164335307052081	0	0	0	0	0	0.07064321616738939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1206018817292417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YGQS4660	0.12612107680989826	0	0	0	0.1678602818447433	0	0	0	0	0	0.13819434505541806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1339955419196506	0	0	0	0	0	0	0	0	0	0	0.12404988828362377	0	0	0	0	0	0	0	0	0	0
BS_YEWX69X4	0	0	0	0	0.07979647970668279	0	0	0	0	0	0	0.12670601079595042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06087948923576593	0	0	0	0	0	0	0	0	0	0	0	0	0.1937378871840498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13182360255752962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YETTZ1NC	0	0	0.081733925850076	0	0	0	0	0	0	0	0.1794886524696355	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10220618886974381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0742866144516102	0	0	0	0.0760624130128093	0	0	0	0	0	0	0.07037818209315015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YBCQBCQC	0	0	0	0	0.0733131363613079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061384938799749315	0.4750378709084957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YB99Q6TN	0.17718696603626	0	0	0	0.10024200002823902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07394394675602187	0	0	0	0.07710025702915822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10911954916852742	0	0	0	0	0	0
BS_Y9GHDZKS	0.07117674816337849	0	0	0	0.1174605501368299	0	0	0	0	0	0.16054865284204978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06659178447234024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Y7CA8B5R	0.08463559084747661	0	0	0	0	0	0	0	0	0	0.11885353507874764	0	0	0	0.0629050430753663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11019043805148968	0	0.1411297051382926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Y74XAFJX	0.07452415381815215	0	0.09528971914205764	0	0.06506660997007084	0	0	0	0	0	0.23679922737638126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06457227397763847	0	0	0	0	0	0	0.0950868097281814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
