cancer_group	efo_code_prefill	mondo_code_prefill	ncit_code_prefill	efo_code_auto	mondo_code_auto	ncit_code_auto	efo_OntoDesc	mondo_OntoDesc	ncit_OntoDesc	efo_desc_match	mondo_desc_match	ncit_desc_match	efo_code_match	mondo_code_match	ncit_code_match
Other	NA	NA	NA	EFO_0030051	GO_0051707	NCIT_C17649	death from other causes	response to other organism	Other	False	False	True	False	False	False
Ovarian Serous Cystadenocarcinoma	EFO_1000043	MONDO_0006046	NCIT_C7978	EFO_1000043	MONDO_0006046	NCIT_C7978	ovarian serous cystadenocarcinoma	ovarian serous cystadenocarcinoma	Ovarian Serous Cystadenocarcinoma	True	True	True	True	True	True
Pancreatic Adenocarcinoma	EFO_1000044	MONDO_0006047	NCIT_C8294	EFO_1000044	MONDO_0006047	NCIT_C8294	pancreatic adenocarcinoma	pancreatic adenocarcinoma	Pancreatic Adenocarcinoma	True	True	True	True	True	True
Perineuroma	MONDO_0019404	MONDO_0019404	NCIT_C4973	Not found	Not found	Not found	Not found	Not found	Not found	False	False	False	False	False	False
Pheochromocytoma and Paraganglioma	EFO_0020005	MONDO_0035540	NA	EFO_0020005	MONDO_0035540	NCIT_C136560	pheochromocytoma-paraganglioma	pheochromocytoma-paraganglioma	Apparent Sporadic Paraganglioma or Pheochromocytoma	False	False	False	True	True	False
Pilocytic astrocytoma	MONDO_0016691	MONDO_0016691	NCIT_C4047	MONDO_0016691	MONDO_0016691	NCIT_C4047	pilocytic astrocytoma	pilocytic astrocytoma	Pilocytic Astrocytoma	True	True	True	True	True	True
Pineal tumor	MONDO_0021232	MONDO_0021232	NCIT_C3328	MONDO_0021232	MONDO_0003248	NCIT_C3328	pineal body neoplasm	adult pineal parenchymal tumor	Pineal Region Neoplasm	False	False	False	True	False	True
Pineoblastoma	EFO_1000475	MONDO_0016722	NCIT_C9344	EFO_1000475	MONDO_0016722	NCIT_C9344	Pineoblastoma	pineoblastoma	Pineoblastoma	True	True	True	True	True	True
Pineocytoma	EFO_1000476	MONDO_0016723	NCIT_C6966	EFO_1000476	MONDO_0016723	NCIT_C6966	Pineocytoma	pineocytoma	Pineocytoma	True	True	True	True	True	True
Pleomorphic xanthoastrocytoma	MONDO_0016690	MONDO_0016690	NCIT_C4323	MONDO_0016690	MONDO_0016690	NCIT_C4323	pleomorphic xanthoastrocytoma	pleomorphic xanthoastrocytoma	Pleomorphic Xanthoastrocytoma	True	True	True	True	True	True
Primary CNS lymphoma	EFO_1000157	MONDO_0002571	NCIT_C9301	EFO_1000157	MONDO_0002571	NCIT_C9301	Central Nervous System Lymphoma	primary central nervous system lymphoma	Central Nervous System Lymphoma	False	False	False	True	True	True
Primary mediastinal large B cell lymphoma	MONDO_0004021	MONDO_0020323	NCIT_C9280	MONDO_0004021	MONDO_0020323	NCIT_C9280	mediastinal malignant lymphoma	primary mediastinal large B-cell lymphoma	Primary Mediastinal (Thymic) Large B-Cell Lymphoma	False	False	False	True	True	True
Prostate Adenocarcinoma	EFO_0000673	MONDO_0005082	NCIT_C2919	EFO_0000673	MONDO_0005082	NCIT_C2919	prostate adenocarcinoma	prostate adenocarcinoma	Prostate Adenocarcinoma	True	True	True	True	True	True
Rectum Adenocarcinoma	EFO_0005631	MONDO_0002169	NCIT_C9383	EFO_0005631	MONDO_0002169	NCIT_C9383	rectal adenocarcinoma	rectum adenocarcinoma	Rectal Adenocarcinoma	False	True	False	True	True	True
Renal Clear Cell Carcinoma	EFO_0000349	MONDO_0005005	NCIT_C4033	EFO_0000349	MONDO_0005005	NCIT_C4033	clear cell renal carcinoma	clear cell renal carcinoma	Clear Cell Renal Cell Carcinoma	False	False	False	True	True	True
Renal Papillary Cell Carcinoma	EFO_0000640	MONDO_0017884	NCIT_C6975	EFO_0000640	MONDO_0017884	NCIT_C6975	papillary renal cell carcinoma	papillary renal cell carcinoma	Papillary Renal Cell Carcinoma	False	False	False	True	True	True
Retinoblastoma	MONDO_0008380	MONDO_0008380	NCIT_C7541	MONDO_0008380	MONDO_0008380	NCIT_C7541	retinoblastoma	retinoblastoma	Retinoblastoma	True	True	True	True	True	True
Rhabdoid tumor of the kidney	EFO_1000512	MONDO_0002729	NCIT_C8715	EFO_1000512	MONDO_0002729	NCIT_C8715	Rhabdoid Tumor of the Kidney	rhabdoid tumor of the kidney	Rhabdoid Tumor of the Kidney	True	True	True	True	True	True
